pageviews_desktop_views,pagecounts_mobile_views,pagecounts_desktop_views,pageviews_mobile_views,pagecount_all_views,pageview_all_views,year,month
3179131148,3179131148,3179131148,3288755294,6358262296,6467886442,2015,07
3192663889,3192663889,3192663889,3302333038,6385327778,6494996927,2015,08
3073981649,3073981649,3073981649,3170203333,6147963298,6244184982,2015,09
3173975355,3173975355,3173975355,3268499132,6347950710,6442474487,2015,10
3142247145,3142247145,3142247145,3236601070,6284494290,6378848215,2015,11
3276836351,3276836351,3276836351,3376275307,6553672702,6653111658,2015,12
3611404079,3611404079,3611404079,3717836846,7222808158,7329240925,2016,01
3242448142,3242448142,3242448142,3334862272,6484896284,6577310414,2016,02
3288785117,3288785117,3288785117,3386684191,6577570234,6675469308,2016,03
3177044999,3177044999,3177044999,3258764002,6354089998,6435809001,2016,04
3296294723,3296294723,3296294723,3395033236,6592589446,6691327959,2016,05
3257882479,3257882479,3257882479,3354790945,6515764958,6612673424,2016,06
3395175122,3395175122,3395175122,3496573762,6790350244,6891748884,2016,07
3418646794,3418646794,3418646794,3515819303,6837293588,6934466097,2016,08
3310247842,3310247842,3310247842,3393285781,6620495684,6703533623,2016,09
3442109005,3442109005,3442109005,3509283891,6884218010,6951392896,2016,10
3507421156,3507421156,3507421156,3591044925,7014842312,7098466081,2016,11
3647567822,3647567822,3647567822,3776543855,7295135644,7424111677,2016,12
4020148351,4020148351,4020148351,4231961542,8040296702,8252109893,2017,01
3522702265,3522702265,3522702265,3711761399,7045404530,7234463664,2017,02
3719395296,3719395296,3719395296,3903493989,7438790592,7622889285,2017,03
3524571150,3524571150,3524571150,3639623119,7049142300,7164194269,2017,04
3567882051,3567882051,3567882051,3686687720,7135764102,7254569771,2017,05
3404097346,3404097346,3404097346,3519383193,6808194692,6923480539,2017,06
3600941034,3600941034,3600941034,3725059253,7201882068,7326000287,2017,07
3502234506,3502234506,3502234506,3621406302,7004469012,7123640808,2017,08
3416989181,3416989181,3416989181,3531604369,6833978362,6948593550,2017,09
3557540057,3557540057,3557540057,3673120542,7115080114,7230660599,2017,10
3557058773,3557058773,3557058773,3670012061,7114117546,7227070834,2017,11
3709128989,3709128989,3709128989,3830136304,7418257978,7539265293,2017,12
4129514528,4129514528,4129514528,4259282371,8259029056,8388796899,2018,01
3613097618,3613097618,3613097618,3725680728,7226195236,7338778346,2018,02
3928081419,3928081419,3928081419,4049874257,7856162838,7977955676,2018,03
3807903935,3807903935,3807903935,3927398111,7615807870,7735302046,2018,04
3961293568,3961293568,3961293568,4089188522,7922587136,8050482090,2018,05
3852929134,3852929134,3852929134,3977766741,7705858268,7830695875,2018,06
4131876847,4131876847,4131876847,4266113752,8263753694,8397990599,2018,07
4055921056,4055921056,4055921056,4187362161,8111842112,8243283217,2018,08
3853821210,3853821210,3853821210,3977120244,7707642420,7830941454,2018,09
3948395290,3948395290,3948395290,4073789753,7896790580,8022185043,2018,10
3909638746,3909638746,3909638746,4033380040,7819277492,7943018786,2018,11
4154561156,4154561156,4154561156,4289054166,8309122312,8443615322,2018,12
4455807733,4455807733,4455807733,4597597181,8911615466,9053404914,2019,01
3894531307,3894531307,3894531307,4018109995,7789062614,7912641302,2019,02
4272319868,4272319868,4272319868,4407290322,8544639736,8679610190,2019,03
4133563063,4133563063,4133563063,4261664166,8267126126,8395227229,2019,04
4278706204,4278706204,4278706204,4413766230,8557412408,8692472434,2019,05
4153124189,4153124189,4153124189,4285985271,8306248378,8439109460,2019,06
4416225801,4416225801,4416225801,4557266440,8832451602,8973492241,2019,07
4390689571,4390689571,4390689571,4531756543,8781379142,8922446114,2019,08
4304039321,4304039321,4304039321,4437958209,8608078642,8741997530,2019,09
4369199633,4369199633,4369199633,4506591862,8738399266,8875791495,2019,10
4333221742,4333221742,4333221742,4471241664,8666443484,8804463406,2019,11
4405350928,4405350928,4405350928,4554269292,8810701856,8959620220,2019,12
4672173634,4672173634,4672173634,4832149630,9344347268,9504323264,2020,01
4275204671,4275204671,4275204671,4418801212,8550409342,8694005883,2020,02
4537280755,4537280755,4537280755,4686270555,9074561510,9223551310,2020,03
5332822293,5332822293,5332822293,5505741941,10665644586,10838564234,2020,04
5089055354,5089055354,5089055354,5231700095,10178110708,10320755449,2020,05
4552042163,4552042163,4552042163,4573975256,9104084326,9126017419,2020,06
4675166579,4675166579,4675166579,4809714465,9350333158,9484881044,2020,07
4647875180,4647875180,4647875180,4803308661,9295750360,9451183841,2020,08
